CustomerID|NameStyle|Title|FirstName|MiddleName|LastName|Suffix|CompanyName|SalesPerson|EmailAddress|Phone|rowguid
1|0|Mr.|Orlando|N.|Gee|NULL|A Bike Store|adventure-works\pamela0|orlando0@adventure-works.com|245-555-0173|3F5AE95E-B87D-4AED-95B4-C3797AFCB74F
2|0|Mr.|Keith|NULL|Harris|NULL|Progressive Sports|adventure-works\david8|keith0@adventure-works.com|170-555-0127|E552F657-A9AF-4A7D-A645-C429D6E02491
3|0|Ms.|Donna|F.|Carreras|NULL|Advanced Bike Components|adventure-works\jillian0|donna0@adventure-works.com|279-555-0130|130774B1-DB21-4EF3-98C8-C104BCD6ED6D
4|0|Ms.|Janet|M.|Gates|NULL|Modular Cycle Systems|adventure-works\jillian0|janet1@adventure-works.com|710-555-0173|FF862851-1DAA-4044-BE7C-3E85583C054D
5|0|Mr.|Lucy|NULL|Harrington|NULL|Metropolitan Sports Supply|adventure-works\shu0|lucy0@adventure-works.com|828-555-0186|83905BDC-6F5E-4F71-B162-C98DA069F38A
6|0|Ms.|Rosmarie|J.|Carroll|NULL|Aerobic Exercise Company|adventure-works\linda3|rosmarie0@adventure-works.com|244-555-0112|1A92DF88-BFA2-467D-BD54-FCB9E647FDD7
7|0|Mr.|Dominic|P.|Gash|NULL|Associated Bikes|adventure-works\shu0|dominic0@adventure-works.com|192-555-0173|03E9273E-B193-448E-9823-FE0C44AEED78
10|0|Ms.|Kathleen|M.|Garza|NULL|Rural Cycle Emporium|adventure-works\josé1|kathleen0@adventure-works.com|150-555-0127|CDB6698D-2FF1-4FBA-8F22-60AD1D11DABD
11|0|Ms.|Katherine|NULL|Harding|NULL|Sharp Bikes|adventure-works\josé1|katherine0@adventure-works.com|926-555-0159|750F3495-59C4-48A0-80E1-E37EC60E77D9
12|0|Mr.|Johnny|A.|Caprio|Jr.|Bikes and Motorbikes|adventure-works\garrett1|johnny0@adventure-works.com|112-555-0191|947BCAF1-1F32-44F3-B9C3-0011F95FBE54
16|0|Mr.|Christopher|R.|Beck|Jr.|Bulk Discount Store|adventure-works\jae0|christopher1@adventure-works.com|1 (11) 500 555-0132|C9381589-D31C-4EFE-8978-8D3449EB1F0F
18|0|Mr.|David|J.|Liu|NULL|Catalog Store|adventure-works\michael9|david20@adventure-works.com|440-555-0132|C04D6B4D-94C6-4C5C-A44C-B449C0AC1B45
19|0|Mr.|John|A.|Beaver|NULL|Center Cycle Shop|adventure-works\pamela0|john8@adventure-works.com|521-555-0195|69AE5D43-31BE-4B76-BFBB-5A23C4788BBC
20|0|Ms.|Jean|P.|Handley|NULL|Central Discount Store|adventure-works\david8|jean1@adventure-works.com|582-555-0113|E010C10A-F1C3-4BBA-81CA-A7E083350400
21|0|NULL|Jinghao|NULL|Liu|NULL|Chic Department Stores|adventure-works\jillian0|jinghao1@adventure-works.com|928-555-0116|564E0B42-4609-43DE-9881-914DA433D82D
22|0|Ms.|Linda|E.|Burnett|NULL|Travel Systems|adventure-works\jillian0|linda4@adventure-works.com|121-555-0121|9774AED6-D673-412D-B481-2573E470B478
23|0|Mr.|Kerim|NULL|Hanif|NULL|Bike World|adventure-works\shu0|kerim0@adventure-works.com|216-555-0122|733F8250-3251-4C2A-8C85-C285BB76B7B4
24|0|Mr.|Kevin|NULL|Liu|NULL|Eastside Department Store|adventure-works\linda3|kevin5@adventure-works.com|926-555-0164|C111E51D-178D-4DBD-A6FF-F1CCBF4B1AAD
25|0|Mr.|Donald|L.|Blanton|NULL|Coalition Bike Company|adventure-works\shu0|donald0@adventure-works.com|357-555-0161|31D03546-FB2A-4488-890E-4709A659E3F0
28|0|Ms.|Jackie|E.|Blackwell|NULL|Commuter Bicycle Store|adventure-works\josé1|jackie0@adventure-works.com|972-555-0163|9B8A04A4-D909-4F49-B1C5-3DE317D69B2A
29|0|Mr.|Bryan|NULL|Hamilton|NULL|Cross-Country Riding Supplies|adventure-works\josé1|bryan2@adventure-works.com|344-555-0144|ECA7C8FA-490B-4B97-9C32-043C90F789E8
30|0|Mr.|Todd|R.|Logan|NULL|Cycle Merchants|adventure-works\garrett1|todd0@adventure-works.com|783-555-0110|2B15DFB1-831E-49E7-B337-395798B129E7
34|0|Ms.|Barbara|J.|German|NULL|Cycles Wholesaler & Mfg.|adventure-works\jae0|barbara4@adventure-works.com|1 (11) 500 555-0181|9EDDA794-7862-4FF4-B8E2-528847CAB2BD
37|0|Mr.|Jim|NULL|Geist|NULL|Two Bike Shops|adventure-works\pamela0|jim1@adventure-works.com|724-555-0161|C6EBB29A-CC67-459C-90E3-339E0F912906
38|0|Ms.|Betty|M.|Haines|NULL|Finer Mart|adventure-works\david8|betty0@adventure-works.com|867-555-0114|E5EDA3F3-4EF1-4806-BD36-E61F3CB2E044
39|0|Ms.|Sharon|J.|Looney|NULL|Fitness Hotel|adventure-works\jillian0|sharon2@adventure-works.com|377-555-0132|6808B1ED-3C9A-401D-B284-9AC31166D9EB
40|0|Mr.|Darren|NULL|Gehring|NULL|Journey Sporting Goods|adventure-works\jillian0|darren0@adventure-works.com|417-555-0182|AA5E28F6-16C8-4D80-894E-17531F2CF972
41|0|Ms.|Erin|M.|Hagens|NULL|Distant Inn|adventure-works\shu0|erin1@adventure-works.com|244-555-0127|E1BA20ED-DA19-4392-A8A8-C2E670438FFB
42|0|Mr.|Jeremy|NULL|Los|NULL|Healthy Activity Store|adventure-works\linda3|jeremy0@adventure-works.com|911-555-0165|64ACD300-337D-4D39-A2C4-FD5972611934
43|0|Ms.|Elsa|NULL|Leavitt|NULL|Frugal Bike Shop|adventure-works\shu0|elsa0@adventure-works.com|482-555-0174|9E449D3E-5D79-4F65-A4F1-10DD3B0E0766
46|0|Mr.|David|O|Lawrence|NULL|Gear-Shift Bikes Limited|adventure-works\josé1|david19@adventure-works.com|653-555-0159|21849ECF-88C2-4574-89D5-397B84DF1D0F
47|0|Ms.|Hattie|J.|Haemon|NULL|Greater Bike Store|adventure-works\josé1|hattie0@adventure-works.com|141-555-0172|0D9ABE85-D952-432D-831A-8BEB7F4E49D0
48|0|Ms.|Anita|R.|Lucerne|NULL|Grand Industries|adventure-works\garrett1|anita0@adventure-works.com|164-555-0118|E656589A-198F-454F-B02F-9CE324457BDF
52|0|Ms.|Rebecca|NULL|Laszlo|NULL|Instruments and Parts Company|adventure-works\jae0|rebecca2@adventure-works.com|1 (11) 500 555-0155|8FB34B30-B19D-4AEC-B02E-F1BE942800E5
55|0|Mr.|Eric|NULL|Lang|NULL|Kickstands and Accessories Company|adventure-works\pamela0|eric6@adventure-works.com|932-555-0163|F5D3997B-AD06-46A0-94AF-A4460F4BE471
56|0|Mr.|Brian|NULL|Groth|NULL|Latest Accessories Sales|adventure-works\david8|brian5@adventure-works.com|461-555-0118|570B1682-9BB1-4359-984D-8F728E3D6973
57|0|Ms.|Judy|R.|Lundahl|NULL|Leading Sales & Repair|adventure-works\jillian0|judy1@adventure-works.com|260-555-0130|7FF17923-E670-4F42-87A3-A6D1AF18EA05
58|0|Mr.|Peter|NULL|Kurniawan|NULL|Largest Bike Store|adventure-works\jillian0|peter4@adventure-works.com|436-555-0160|E324FEE8-1EE7-4B96-854E-CFDA7B0CBBC8
59|0|Mr.|Douglas|NULL|Groncki|NULL|Locks Company|adventure-works\shu0|douglas2@adventure-works.com|385-555-0140|60708606-604C-44BE-90E1-3A0925B8060E
60|0|Mr.|Sean|J.|Lunt|NULL|Main Bicycle Services|adventure-works\linda3|sean4@adventure-works.com|183-555-0111|A029F31E-433B-4FA4-B442-B291D16A1B9F
61|0|Mr.|Jeffrey|NULL|Kurtz|NULL|Many Bikes Store|adventure-works\shu0|jeffrey3@adventure-works.com|452-555-0179|CCC53B43-66A6-47F6-A38E-5DD7CFAFEAA6
64|0|Mr.|Vamsi|NULL|Kuppa|NULL|Metal Clearing House|adventure-works\josé1|vamsi1@adventure-works.com|290-555-0196|E6B6F92D-4AC6-4BC7-BF6B-2F3C67498DE7
65|0|Ms.|Jane|P.|Greer|NULL|Metro Manufacturing|adventure-works\josé1|jane2@adventure-works.com|737-555-0163|7E082443-8AF6-4BB6-A0F5-1586271D1F2C
66|0|Mr.|Alexander|J.|Deborde|NULL|Neighborhood Store|adventure-works\garrett1|alexander1@adventure-works.com|394-555-0176|E91E0048-9A25-489B-96C1-D726DA68FB7C
70|0|Mr.|Deepak|NULL|Kumar|NULL|Outdoor Aerobic Systems Company|adventure-works\jae0|deepak0@adventure-works.com|1 (11) 500 555-0122|89E10B04-064E-4313-8203-91FA98A01B11
73|0|Ms.|Margaret|T.|Krupka|NULL|Outdoor Sports Supply|adventure-works\pamela0|margaret1@adventure-works.com|107-555-0132|9D5C135E-BD60-46E0-B371-843391637827
74|0|Mr.|Christopher|M.|Bright|NULL|Parcel Express Delivery Service|adventure-works\david8|christopher2@adventure-works.com|162-555-0166|73485E57-076D-4B10-BB48-6043DD873582
75|0|Ms.|Aidan|NULL|Delaney|NULL|Paint Supply|adventure-works\jillian0|aidan0@adventure-works.com|358-555-0188|55CFED0E-1A7B-409C-9AFF-297065965870
76|0|Mr.|James|J.|Krow|NULL|Out-of-the-Way Hotels|adventure-works\jillian0|james11@adventure-works.com|265-555-0190|5227D299-B05E-4D6C-A1C9-DA63154869BA
77|0|Mr.|Michael|NULL|Brundage|NULL|Mechanical Products Ltd.|adventure-works\shu0|michael13@adventure-works.com|128-555-0148|B3F9113C-8FCE-47E1-9F04-38A0C68917C6
78|0|Mr.|Stefan|NULL|Delmarco|NULL|Preferred Bikes|adventure-works\linda3|stefan0@adventure-works.com|819-555-0186|8C8083AB-7943-44FA-B1AD-8E3ABD5D66EE
79|0|Mr.|Mitch|NULL|Kennedy|NULL|Reasonable Bicycle Sales|adventure-works\shu0|mitch0@adventure-works.com|996-555-0192|010D8AA6-CEBA-4097-9E67-3B2A9674FD5F
